0 0 6.95253e+07
0 1 1.42071e+07
0 2 -96319.5
0 3 204408
0 4 -355798
0 5 -1.15674e+06
0 6 5777.64
0 7 99297.4
0 8 95052.8
0 9 223640
0 10 173016
0 11 385270
0 12 -184225
0 13 209739
0 14 58932.5
0 15 -191416
0 16 -107933
0 17 112311
0 18 -17629.8
0 19 62446.6
0 20 -50962.3
0 21 -47188.1
0 22 2259.7
0 23 -33746.3
0 24 85095.2
0 25 13193.8
0 26 45350.6
0 27 71828.1
0 28 64818.4
0 29 58362.4
0 30 12739
0 31 -52874
0 32 -31576
0 33 -14896.9
0 34 26386
0 35 20823.1
0 36 -15394.4
0 37 7439.6
0 38 7.09027e+06
0 39 2.6212e+07
0 40 -1.40778e+06
0 41 -1.86994e+06
0 42 -492381
0 43 -1.03208e+06
0 44 -1.0144e+06
0 45 -1.63894e+06
0 46 25400.1
0 47 -426323
0 48 -1.24082e+06
0 49 -218938
0 50 891080
0 51 -1.04182e+06
0 52 -711301
0 53 -331810
0 54 -285067
0 55 -97544.8
0 56 90929.5
0 57 162276
0 58 -37886.8
0 59 -110466
0 60 -180125
0 61 -53198.2
0 62 151229
0 63 163248
0 64 84749.2
0 65 -18981.9
0 66 85609.7
0 67 72714.5
0 68 -21633.6
0 69 11517.8
0 70 159220
0 71 75966.6
0 72 -93285.5
0 73 -204977
0 74 26543.9
0 75 -14373.5
1 0 1.42071e+07
1 1 3.56726e+07
1 2 8.77976e+06
1 3 425328
1 4 -462690
1 5 267761
1 6 290532
1 7 107632
1 8 -357298
1 9 -374539
1 10 -36209.3
1 11 126375
1 12 64749.8
1 13 -96446.9
1 14 -37460.6
1 15 -12733.9
1 16 55949
1 17 32932.5
1 18 98801.8
1 19 52362.6
1 20 -7105.73
1 21 -4333.93
1 22 -47108.9
1 23 -34393.9
1 24 -55006.8
1 25 -15714.6
1 26 40862.7
1 27 -66485.1
1 28 -84284.2
1 29 34132
1 30 67816.4
1 31 39757.9
1 32 12965
1 33 10851.5
1 34 -20973.1
1 35 33152.8
1 36 20883.5
1 37 4035.91
1 38 1.30024e+07
1 39 1.34672e+07
1 40 1.58777e+07
1 41 1.9435e+06
1 42 -1.46729e+06
1 43 -1.66326e+06
1 44 -587874
1 45 -419846
1 46 -509745
1 47 -163976
1 48 -266670
1 49 147111
