0.030   7129.6   3595.2   9205.1   8442.8 -13462.6  12001.4
0.050   6946.4   1621.6    714.3   4229.0  -3118.3   4892.0
0.070   8458.7    965.7   8950.6   2452.0   5002.7   3117.4
0.090   5305.7    556.5    873.9   1498.9  -2361.0   1911.2
0.110   4088.2    410.6   2671.4    974.4   1112.1   1291.4
0.130   3260.1    300.7   2967.1    733.4   1818.8    935.3
0.150   2978.0    232.2    747.6    582.8    648.3    741.8
0.170   2222.7    176.5    536.5    447.5    186.1    592.9
0.190   1761.1    162.7    834.9    385.8   -107.2    511.9
0.210   1214.4    131.0    851.6    307.7    841.6    400.4
0.230   1558.1    114.9    468.2    269.4    875.7    353.3
0.250   1196.9    100.0     21.5    231.0    120.0    316.1
0.270    932.6     90.8     95.1    210.3    130.3    274.7
0.290    736.5     80.3    132.3    187.2    -92.8    249.7
