0.030  21728.0   4518.8    560.4  10373.6  -1216.9  10817.0
0.050  10226.0   1963.2   7947.0   5394.2   -365.5   6056.2
0.070   7534.1   1255.2   6801.7   3200.5   2557.1   3947.7
0.090   5509.2    784.8   5006.8   1907.9   1701.1   2424.5
0.110   4620.7    546.1   3945.3   1344.7   1239.7   1623.5
0.130   3661.2    412.5   1410.5    988.0     79.2   1180.8
0.150   2674.2    318.0   1710.2    800.5    -27.7   1062.5
0.170   2082.4    232.0   1741.6    585.6   -175.2    763.8
0.190   1446.4    207.9    677.6    511.6    -86.2    655.0
0.210   1288.1    176.0    443.6    413.0    763.9    506.1
0.230   1078.7    159.8    -40.3    373.0    369.9    473.0
0.250   1074.1    134.6    273.0    332.6     19.3    418.6
0.270    997.5    117.0    606.2    287.1   -107.5    378.7
0.290    855.7    110.0    406.1    256.2     84.5    339.4
