0.030  11690.7   3621.4   6368.1   8118.7  -3332.3   9336.3
0.050  10262.9   2074.3  -1313.4   5125.0   7052.2   5265.6
0.070   8458.6   1193.5   -345.9   3076.4   3947.1   3571.6
0.090   5961.6    723.6   1231.4   1738.8   1436.7   2243.0
0.110   4551.5    475.3   1548.2   1254.7  -1081.3   1519.5
0.130   3481.1    317.0   2224.9    812.7    343.2   1091.2
0.150   2733.8    245.2   1182.2    647.9    332.4    831.0
0.170   2594.4    193.5   1187.7    475.0    -29.6    628.9
0.190   2219.1    156.8    762.6    390.3    809.3    497.2
0.210   1961.2    127.8    642.9    307.9   1038.3    391.6
0.230   1529.7    100.0    325.4    267.3    383.4    339.6
0.250   1249.0     92.1    189.0    223.5    293.6    291.9
0.270    999.2     80.3    363.9    196.1   -136.2    246.3
0.290    960.8     68.1    320.5    162.8    -18.7    217.4
