0.030  19748.0   3343.6  17081.1   7957.4 -12602.5  10746.6
0.050  13052.5   1593.4   3352.7   3845.4   2183.4   4591.8
0.070   8229.6    892.8   2377.6   2221.5   2220.1   2791.4
0.090   6817.9    536.3   3860.7   1347.2   2576.7   1751.1
0.110   3897.8    369.0    870.8    926.8   -695.4   1181.3
0.130   3413.4    281.7    702.3    704.9    287.8    909.3
0.150   2640.5    218.0   1069.1    532.6   -774.0    680.2
0.170   2309.9    173.3    965.1    410.1   -220.3    518.7
0.190   1760.4    142.6    931.1    362.5    443.6    417.7
0.210   1388.1    123.3    635.9    290.8    278.2    387.7
0.230   1070.8    103.7    376.2    252.5    370.5    337.9
0.250   1025.4     94.3    404.1    232.5     40.1    278.3
0.270    870.6     84.3    322.6    189.3    143.6    261.9
0.290    664.9     69.9    -82.0    170.9   -135.3    226.9
