0.030  13787.5   3381.7      9.4   8398.2 -21454.3  11013.9
0.050   9537.9   1477.2   7529.8   3766.2   5648.5   4466.9
0.070   8074.6    884.5   3205.9   2306.3   1068.7   2783.5
0.090   5767.7    538.7   1585.5   1319.8   1736.5   1656.8
0.110   3923.5    347.3   1972.8    933.8    989.5   1160.6
0.130   3174.8    262.8   1224.2    683.9    125.2    843.8
0.150   2478.4    210.9   1105.4    524.7    515.7    663.8
0.170   2173.5    162.2   1342.1    402.7    218.7    514.1
0.190   1947.0    127.4    593.6    330.3    281.4    418.1
0.210   1430.9    112.9    616.7    275.8    122.1    351.3
0.230   1411.9     93.9    476.7    228.4    492.2    312.4
0.250   1133.1     84.2    468.3    204.6    572.0    258.9
0.270   1040.1     75.4    256.9    184.9    225.4    234.4
0.290    759.1     68.1    105.4    163.5    166.6    209.6
