0.030  18030.8   3950.5  12518.4   8156.7 -15785.3   9801.6
0.050   9643.9   1637.8   6728.1   3904.0   1541.8   4937.3
0.070   8505.3    999.6   3719.8   2530.9  -1530.3   3150.3
0.090   5506.8    569.9   4145.5   1454.4   2238.0   1879.6
0.110   4134.5    407.4   1482.5   1117.1    368.7   1355.8
0.130   4015.3    329.1   2496.5    800.8   2025.3   1046.6
0.150   2846.7    251.7   1697.7    597.9    855.3    747.9
0.170   2476.8    189.0   1633.5    504.1   -230.1    658.0
0.190   2080.9    171.0   1067.8    405.3     66.6    509.0
0.210   1579.2    142.9    516.0    351.8    228.9    463.4
0.230   1438.8    125.7    620.6    300.3    254.2    387.9
0.250   1347.1    113.6    773.0    265.2    -71.0    367.3
0.270   1165.0     96.3    237.7    241.0   -112.3    317.3
0.290    923.2     94.4    140.5    214.8    169.8    277.5
