           1           1   11179367.0000000     
           1           2   1194669.12000000     
           1           3   242497.562000000     
           1           4  -48835.1797000000     
           1           5   55196.9375000000     
           1           6   22771.2969000000     
           1           7   15144.9111000000     
           1           8   4204402.00000000     
           1           9   10489.6826000000     
           1          10   56314.3008000000     
           1          11   28617.0781000000     
           1          12  -114985.578000000     
           1          13  -69807.8281000000     
           1          14   113305.906000000     
           1          15   8602799.00000000     
           1          16   174174.141000000     
           1          17   466871.094000000     
           1          18   225063.984000000     
           1          19  -25705.2812000000     
           1          20   129404.445000000     
           1          21   113506.156000000     
           2           1   1194669.12000000     
           2           2   2538963.25000000     
           2           3   333722.344000000     
           2           4   91705.6484000000     
           2           5   34103.6562000000     
           2           6  -11533.2480000000     
           2           7   15117.2842000000     
           2           8   1286271.38000000     
           2           9   1687022.75000000     
           2          10  -51761.1719000000     
           2          11  -130522.375000000     
           2          12  -5413.64795000000     
           2          13  -42416.0547000000     
           2          14   15159.6533000000     
           2          15   2290092.25000000     
           2          16   1049707.12000000     
           2          17  -62832.2969000000     
           2          18  -80853.6484000000     
           2          19  -27671.1016000000     
           2          20   30053.9551000000     
           2          21   23247.0117000000     
           3           1   242497.562000000     
           3           2   333722.344000000     
           3           3   797140.938000000     
           3           4   150760.094000000     
           3           5   46554.5078000000     
           3           6   25782.4883000000     
           3           7   19348.7051000000     
           3           8  -147808.359000000     
           3           9   188623.531000000     
           3          10   631847.562000000     
           3          11   675.534058000000     
           3          12  -10418.8848000000     
           3          13   39303.7539000000     
           3          14   22922.5000000000     
           3          15   477706.469000000     
           3          16   382657.562000000     
           3          17   425772.719000000     
           3          18  -265183.031000000     
           3          19  -16192.0518000000     
           3          20   46837.0625000000     
           3          21   33369.1484000000     
           4           1  -48835.1797000000     
           4           2   91705.6484000000     
           4           3   150760.094000000     
           4           4   287650.875000000     
           4           5   39833.7734000000     
           4           6   11371.2461000000     
           4           7   10840.4160000000     
           4           8   17320.6758000000     
           4           9   135109.297000000     
           4          10   188661.578000000     
           4          11   189912.141000000     
           4          12  -12700.0547000000     
           4          13  -16991.4473000000     
           4          14   6167.97656000000     
           4          15   244645.172000000     
           4          16   124267.422000000     
           4          17   42340.4570000000     
           4          18  -5493.55518000000     
           4          19  -51577.3438000000     
           4          20  -17702.1387000000     
           4          21  -1642.69336000000     
           5           1   55196.9375000000     
           5           2   34103.6562000000     
           5           3   46554.5078000000     
           5           4   39833.7734000000     
           5           5   136132.234000000     
           5           6   24974.1484000000     
           5           7   8381.68066000000     
           5           8   187683.969000000     
           5           9  -19390.1719000000     
           5          10   66989.6719000000     
           5          11   27141.5898000000     
           5          12   103522.523000000     
           5          13   11966.7266000000     
           5          14   2352.54956000000     
           5          15   194480.312000000     
           5          16  -46853.4844000000     
           5          17   26826.8359000000     
           5          18   14455.7695000000     
           5          19   36514.6523000000     
           5          20  -9143.80176000000     
           5          21  -14494.6748000000     
           6           1   22771.2969000000     
           6           2  -11533.2480000000     
           6           3   25782.4883000000     
           6           4   11371.2461000000     
           6           5   24974.1484000000     
           6           6   79373.1953000000     
           6           7   14220.1484000000     
           6           8   67147.8125000000     
           6           9   13325.7285000000     
           6          10   77584.5078000000     
           6          11   560.385010000000     
           6          12   12316.9570000000     
           6          13   58055.3438000000     
           6          14   3413.92700000000     
           6          15   264030.469000000     
           6          16  -28330.4336000000     
           6          17  -52730.3398000000     
           6          18  -27207.1699000000     
           6          19   1328.99023000000     
           6          20   32759.9629000000     
           6          21  -9114.12598000000     
           7           1   15144.9111000000     
           7           2   15117.2842000000     
           7           3   19348.7051000000     
           7           4   10840.4160000000     
           7           5   8381.68066000000     
           7           6   14220.1484000000     
           7           7   47544.7969000000     
           7           8   124549.539000000     
           7           9   38893.5820000000     
           7          10   35458.0547000000     
           7          11   10780.0791000000     
           7          12   15412.4746000000     
           7          13   12864.8506000000     
           7          14   41187.1367000000     
           7          15   27165.3281000000     
           7          16   8186.54492000000     
           7          17  -29480.0488000000     
           7          18  -18081.4922000000     
           7          19  -5778.39746000000     
           7          20   4862.86230000000     
           7          21   27164.7969000000     
           8           1   4204402.00000000     
           8           2   1286271.38000000     
           8           3  -147808.359000000     
           8           4   17320.6758000000     
           8           5   187683.969000000     
           8           6   67147.8125000000     
           8           7   124549.539000000     
           8           8   63319880.0000000     
           8           9   4101368.50000000     
           8          10   1792474.12000000     
           8          11   116618.477000000     
           8          12   565324.750000000     
           8          13   461718.406000000     
           8          14   336485.844000000     
           8          15   17892096.0000000     
           8          16  -7098267.50000000     
           8          17   1121917.88000000     
           8          18   437498.250000000     
           8          19   386262.344000000     
           8          20   579104.500000000     
           8          21   118295.594000000     
           9           1   10489.6826000000     
           9           2   1687022.75000000     
           9           3   188623.531000000     
           9           4   135109.297000000     
           9           5  -19390.1719000000     
           9           6   13325.7285000000     
           9           7   38893.5820000000     
           9           8   4101368.50000000     
           9           9   14787311.0000000     
           9          10   1943209.88000000     
           9          11   57874.4766000000     
           9          12   99958.8281000000     
           9          13   264676.812000000     
           9          14   80095.0234000000     
           9          15   604432.125000000     
           9          16   3212974.75000000     
           9          17  -787352.812000000     
           9          18  -572579.125000000     
           9          19  -100250.125000000     
           9          20  -161237.188000000     
           9          21  -90689.0859000000     
          10           1   56314.3008000000     
          10           2  -51761.1719000000     
          10           3   631847.562000000     
          10           4   188661.578000000     
          10           5   66989.6719000000     
          10           6   77584.5078000000     
          10           7   35458.0547000000     
          10           8   1792474.12000000     
          10           9   1943209.88000000     
          10          10   4934912.00000000     
          10          11   653037.250000000     
          10          12   255027.797000000     
          10          13   249464.219000000     
          10          14   79720.3359000000     
          10          15   1585196.25000000     
          10          16   698780.812000000     
          10          17   1312889.25000000     
