0.030  13533.4   4262.7   1839.4   9093.4  -5044.5  10630.0
0.050  10879.8   2106.2  -2493.8   4284.7   5656.7   6044.7
0.070   8815.4   1177.8   1266.4   3005.4    492.1   3722.0
0.090   5168.3    760.5   3158.0   1787.7   1016.5   2177.5
0.110   4548.4    545.7   3278.4   1259.4  -1117.2   1551.9
0.130   3346.9    415.9   2696.6    968.6   -672.1   1176.7
0.150   2454.5    325.1   1740.3    756.5   1511.3    949.0
0.170   2088.1    264.8    447.0    625.6   -533.0    765.6
0.190   2172.5    236.5   1316.8    532.5    376.9    645.2
0.210   1914.9    190.6    259.0    452.6   -263.4    574.3
0.230   1500.5    165.1    282.6    374.2    251.7    497.0
0.250   1336.4    145.8    -83.3    347.5     54.3    427.4
0.270   1099.6    134.3    540.0    301.6    230.3    410.1
0.290    930.1    119.3    137.8    273.3    -78.9    344.6
